Hotel Name,Price,Star-Rating
"【Hotel Futaba HeightsC】good access, up to 5 guests",US$90,N/A
Reberty Haneda,US$94,N/A
Best Western Yokohama,US$104,3
-Takaya house- Minamirokugou close Haneda AP,US$111,N/A
ボンアート瀬田,US$120,N/A
Riverside Omori,US$122,N/A
Ai Hotel Keikyu Kamata,US$125,3
Zenith Garden TOGOSHI,US$128,N/A
Minn Kamata,US$131,3
Red Roof Inn Kamata / Haneda Tokyo,US$134,3
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$145,N/A
Hotel Toms,US$147,3
Fontaine Kamata,US$156,N/A
Hotel Oriental Express Tokyo Kamata,US$157,3
2Rooms Haneda,US$165,N/A
Richmond Hotel Premier Musashikosugi,US$167,4
SKYE HOMEⅡ本羽田,US$169,N/A
HOTEL AMANEK Kamata-Eki Mae,US$170,3
Theatel Haneda Ⅱ,US$171,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$172,3
APA Hotel Keikyukamata Ekimae,US$172,3
R's Forest Inn,US$174,3
APA Hotel Kamata Ekimae,US$174,3
Henn na Hotel Tokyo Haneda,US$176,3
Minn Haneda Airport,US$178,N/A
QuintessaHotel TokyoHaneda Comic&Books,US$179,3
Dormy Inn Kawasaki Natural Hot Spring,US$181,3
Kawasaki King Skyfront Tokyu REI Hotel,US$182,3
HOTEL MYSTAYS Haneda,US$189,4
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$192,N/A
HOTEL Enmichi,US$196,3
HOTEL ASYL TOKYO KAMATA,US$200,4
