Hotel Name,Price,Star-Rating
SLEEPLAB 高輪 -睡眠特化型Hotel-,US$76,N/A
KEIKYU EX INN Kamata -Tokyo,US$85,3
KEIKYU EX INN Haneda Innovation City 2 minutes walk from HICity Exit of Tenkubashi Station,US$91,3
JR-East Hotel Mets Yokohama Tsurumi,US$90,3
KEIKYU EX INN Keikyu Kawasaki-Station,US$92,3
Best Western Yokohama,US$48,3
Hotel Dieu Nakanobu,US$52,N/A
ボンアート瀬田,US$55,N/A
ビラ サクラ Villa Sakura - Tokyo-Haneda Airport,US$56,N/A
Riverside Omori,US$56,N/A
ベルビー川崎,US$59,N/A
Zenith Garden TOGOSHI,US$59,N/A
Seacrest Nakanobu,US$59,N/A
Minn Kamata,US$60,3
#301WZNET梅屋敷駅1分羽田空港品川12分横浜19分Netflix無料,US$63,N/A
Hotel the World Omori,US$75,N/A
Tokyo Time Traveler 駅徒歩5分 暮らすように泊まれるホテル,US$65,N/A
Fontaine Kamata,US$66,N/A
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$67,N/A
kotobuki504condotel,US$72,N/A
Dash Living Osaki,US$73,N/A
Vista Ikegami,US$74,N/A
Red Roof Inn Kamata / Haneda Tokyo,US$74,3
HOTEL AMANEK Kamata-Eki Mae,US$74,3
Toyoko Inn Yokohama Tsurumi eki Higashi guchi,US$75,3
SK House,US$77,N/A
Ai Hotel Keikyu Kamata,US$77,3
Hotel Oriental Express Tokyo Kamata,US$81,3
APA Hotel Keikyukamata Ekimae,US$82,3
FLEXSTAY INN Shinagawa,US$85,3
Eternity APARTMENT HOTEL SHINAGAWA,US$85,N/A
Creare Togoshi Ginza,US$86,N/A
Hotel Toms,US$88,3
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$72,N/A
C＆Jホテル,US$88,3
HOTEL Enmichi,US$73,3
Voere大井町 201,US$89,N/A
Dormy Inn Kawasaki Natural Hot Spring,US$90,3
HOTEL MYSTAYS Haneda,US$90,4
Shinagawa New Apt Easy access to both Haneda & Narita Airport,US$92,N/A
Tokyu Stay Kamata - Tokyo Haneda,US$93,3
APA Hotel Kamata Ekimae,US$93,3
APA Hotel Kamataeki-Higashi,US$93,3
花の郷 品川,US$94,N/A
Minn Haneda Airport,US$95,N/A
APA Hotel TKP Keikyu Kawasaki Ekimae,US$95,3
QuintessaHotel TokyoHaneda Comic&Books,US$96,3
大井町アパートメントホテル豊強ビル,US$96,N/A
Kawasaki King Skyfront Tokyu REI Hotel,US$96,3
HOTEL MYSTAYS Kamata,US$96,3
Private Hotel Summer 102,US$96,N/A
Chisun Hotel Kamata,US$96,3
[Newly built condominium for rent! ] 5 minutes wal - Vacation STAY 98059v,US$98,N/A
Henn na Hotel Tokyo Haneda,US$99,3
Daiwa Roynet Hotel Tokyo Osaki,US$101,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$97,3
Shinagawa Tobu Hotel,US$89,3
Hotel Royal Oak Gotanda,US$91,3
Urbain Tokyo Haneda Kamata,US$107,3
Hotel Dieu Nakanobu - Vacation STAY 94326v,US$111,N/A
Numero Uno Tokyo - Vacation STAY 25742v,US$111,N/A
Hotel Dieu Nakanobu - Vacation STAY 94316v,US$111,N/A
Hotel the World Omori 102 - Vacation STAY 19409v,US$111,N/A
HOTEL LiVEMAX Kamata Ekimae,US$73,3
HOTEL MYSTAYS Gotanda,US$113,3
hotel MONday Haneda Airport,US$113,3
Richmond Hotel Premier Musashikosugi,US$115,4
鵜の木民宿202号室鵜の木駅から徒歩4分とても便利の場所,US$115,N/A
Toko inn courtyard,US$116,N/A
APA Hotel Omori Ekimae Higashi,US$116,3
New Otani Inn Tokyo,US$117,3
M2-3Haneda Lex House 9BDR Max22 people 2WC 2Bath 1min from Sta FreeParking 'Private use,US$118,N/A
Numero Uno Tokyo - Vacation STAY 25720v,US$119,N/A
Numero Uno Tokyo - Vacation STAY 25715v,US$119,N/A
Numero Uno Tokyo - Vacation STAY 25738v,US$119,N/A
Numero Uno Tokyo - Vacation STAY 25725v,US$119,N/A
Tmark City Hotel Tokyo Omori,US$120,4
Hotel JAL City Haneda Tokyo West Wing,US$121,4
APA Hotel Shinagawa Togoshi Ekimae,US$123,3
Super Hotel Shinagawa Shinbanba,US$113,3
